"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Quantity","Unit Price","Extended Price","Quantity Available","Description"
"968","Keystone Electronics","36-968-ND","9V","BT1","Bulk","1","1.24000","$1.24","10672","CONN PC VERT 9V SNAP-ON"
"GRM188R61C106KAALD","Murata Electronics North America","490-10728-1-ND","10uF","C1","Cut Tape (CT)","1","0.47000","$0.47","395","CAP CER 10UF 16V X5R 0603"
"CL10B103KA8NNNC","Samsung Electro-Mechanics","1276-1132-1-ND","10nF","C2","Cut Tape (CT)","1","0.10000","$0.10","40000","CAP CER 10000PF 25V X7R 0603"
"RC0603JR-0733KL","Yageo","311-33KGRCT-ND","33k","R1","Cut Tape (CT)","1","0.08000","$0.08","1167528","RES SMD 33K OHM 5% 1/10W 0603"
"NE555S-13","Diodes Incorporated","NE555S-13DICT-ND","555","U1","Cut Tape (CT)","1","0.37000","$0.37","2152","IC OSC SINGLE TIMER 500KHZ 8SO"
"MC14020BDR2G","ON Semiconductor","MC14020BDR2GOSCT-ND","4020","U2","Cut Tape (CT)","1","0.54000","$0.54","7498","IC COUNTER 14BIT BINARY 16-SOIC"
"LTST-C190AKT","Lite-On Inc.","160-1180-1-ND","LED","D","Cut Tape (CT)","27","0.15560","$4.20","95942","LED ORANGE CLEAR CHIP SMD"
