Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Description,Customer Reference,Quantity 1,Price,Quantity 2,Price,Quantity 3,Price,Stock Status,Mfg Std Lead Time,Comments,RoHS Status,Lead Free Status,REACH Status
36-968-ND,KEYSTONE ELECTRONICS,968,CONN PC VERT 9V SNAP-ON,9V,1,"	1.24000",5,"	1.24000",100,"	0.94450",IN STOCK,6 Weeks,,RoHS Compliant,Lead free,Unaffected Jul-2017
490-10728-1-ND,MURATA ELECTRONICS (VA),GRM188R61C106KAALD,CAP CER 10UF 16V X5R 0603,10UF,1,"	0.47000",5,"	0.47000",100,"	0.19750",395 IN STOCK/NO DELIVERY DATE AVAILABLE,39 Weeks,No delivery date available,RoHS Compliant,Lead free,Not Available
1276-1132-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10B103KA8NNNC,CAP CER 10000PF 25V X7R 0603,10NF,1,"	0.10000",5,"	0.10000",100,"	0.02320",315528 IN STOCK/NO DELIVERY DATE AVAILABLE,42 Weeks,No delivery date available,RoHS Compliant,Lead free,Unaffected Jul-2017
311-33KGRCT-ND,YAGEO (VA),RC0603JR-0733KL,RES SMD 33K OHM 5% 1/10W 0603,33K,1,"	0.08000",5,"	0.08000",100,"	0.00700",IN STOCK,29 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
NE555S-13DICT-ND,DIODES INCORPORATED (VA),NE555S-13,IC OSC SINGLE TIMER 500KHZ 8SO,555,1,"	0.37000",5,"	0.37000",100,"	0.20600",IN STOCK,12 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
MC14020BDR2GOSCT-ND,ON SEMICONDUCTOR (VA),MC14020BDR2G,IC COUNTER 14BIT BINARY 16-SOIC,4020,1,"	0.54000",5,"	0.54000",100,"	0.34750",IN STOCK,20 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2017
160-1180-1-ND,LITE-ON INC (VA),LTST-C190AKT,LED ORANGE CLEAR CHIP SMD,LED,27,"	0.15560",135,"	0.11110",2700,"	0.05222",IN STOCK,12 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
